SampleID	Population	STD_Length	Total_Length	Weight	IncrSums
U1Gen5_223	U1Gen5	72	84	1.37	17973.5942829994
U1Gen5_224	U1Gen5	67	76	1.87	18083.5718129994
U1Gen5_225	U1Gen5	67	78	1.59	18038.7097029994
U1Gen5_226	U1Gen5	52	61	0.74	17966.2108339992
U1Gen5_227	U1Gen5	79	92	2.35	19535.0375879987
U1Gen5_228	U1Gen5	68	78	1.44	18812.1193189989
U1Gen5_229	U1Gen5	71	82.4	2.44	17996.6140889991
U1Gen5_230	U1Gen5	66	76.6	2.18	17842.1320579994
U1Gen5_231	U1Gen5	71	82.4	2.23	18744.661804999
U1Gen5_232	U1Gen5	80	92.8	3.47	19586.6024759987
U1Gen5_233	U1Gen5	63	72	1.27	19276.1471999988
U1Gen5_234	U1Gen5	62	71	1.53	18873.9026379992
U1Gen5_235	U1Gen5	64	76	2.15	18366.9106479994
U1Gen5_275	U1Gen5	76	90	3.33	18970.8937069991
U1Gen5_276	U1Gen5	69	79	2.45	18101.417141999
U1Gen5_277	U1Gen5	71	80	2.68	17100.6289579994
U1Gen5_278	U1Gen5	63	74	2.08	18384.0993429993
U1Gen5_280	U1Gen5	66	79	2.64	18047.2852969993
U1Gen5_281	U1Gen5	83	92	3.01	17752.6721979995
U1Gen5_282	U1Gen5	75	88	3.39	17103.5061769995
U1Gen5_283	U1Gen5	72	85	2.54	16564.5757039997
U1Gen5_284	U1Gen5	85	97	5.18	17638.6363189993
U1Gen5_285	U1Gen5	75	86	2.42	18689.856411999
U1Gen5_286	U1Gen5	71	88	4.05	19204.3645889989
U1Gen5_287	U1Gen5	70	80	2.81	19417.8382419991
U1Gen5_288	U1Gen5	80	93	3.96	17511.0981019992
U1Gen5_294	U1Gen5	65	76	2.23	18250.6027829994
U1Gen5_296	U1Gen5	63	74	2.34	19657.6769269989
U1Gen5_297	U1Gen5	76	87	3.68	18396.2488949993
U1Gen5_298	U1Gen5	78	90	4.35	17958.3632129992
U1Gen5_304	U1Gen5	80	90	3.9	16820.2580079997
U1Gen5_305	U1Gen5	59	67	2.04	17100.6578839993
U1Gen5_306	U1Gen5	59	69	1.46	17026.5950699992
U1Gen5_307	U1Gen5	61	72	1.46	17417.3926449991
U1Gen5_308	U1Gen5	81	96	5.91	16529.1889999996
U1Gen5_310	U1Gen5	70	81	3.81	19072.456947999
U1Gen5_313	U1Gen5	73	85	3.83	18349.0194839987
U1Gen5_317	U1Gen5	74	84	3.43	17498.0201999993
U1Gen5_318	U1Gen5	75	83	3.91	16629.1980739994
U1Gen5_320	U1Gen5	76	87	3.48	18280.3311439993
U1Gen5_322	U1Gen5	58	69	1.49	16802.5387089996
U1Gen5_323	U1Gen5	70	81	2.6	18138.7222799995
U1Gen5_325	U1Gen5	75	85	3.45	16586.4146099999
U1Gen5_326	U1Gen5	71	82	3.07	18414.1004749995
U1Gen5_327	U1Gen5	77	91	3.88	18243.1464499996
U1Gen5_351	U1Gen5	78	92	4.31	17633.2820069997
U1Gen5_353	U1Gen5	69	82	3.15	17885.8878459996
U1Gen5_354	U1Gen5	78	90	4.53	20083.4317009985
U1Gen5_356	U1Gen5	68	81	3.02	17848.774119999
U1Gen5_357	U1Gen5	64	74	2.24	18485.884772999
U2Gen5_1460	U2Gen5	73	90	2.02	17511.6089719994
U2Gen5_1462	U2Gen5	74	84	2.97	17865.2909009993
U2Gen5_1464	U2Gen5	64	75	1.27	17293.0423559992
U2Gen5_1465	U2Gen5	69	73	1.54	18116.8885259995
U2Gen5_1529	U2Gen5	67	79	2.42	18412.8566659993
U2Gen5_1530	U2Gen5	68	80	2.23	17696.0985089997
U2Gen5_1533	U2Gen5	65	77	1.75	18651.8394919991
U2Gen5_1534	U2Gen5	64	75	2.1	18589.5857689993
U2Gen5_553	U2Gen5	70	80	2.38	18139.1507969991
U2Gen5_554	U2Gen5	65	78	2.45	17938.4230169991
U2Gen5_555	U2Gen5	72	82	2.61	19018.7434559989
U2Gen5_556	U2Gen5	78	91	3.24	17815.0526689992
U2Gen5_557	U2Gen5	73	84.5	2.95	17824.5530759992
U2Gen5_559	U2Gen5	71	81	2.34	18391.587406999
U2Gen5_560	U2Gen5	70	81.1	3.47	17433.1694439992
U2Gen5_561	U2Gen5	57	64	1.14	17834.7728449991
U2Gen5_562	U2Gen5	71	84	3.18	17912.3952719993
U2Gen5_563	U2Gen5	70	83	2.31	19152.7726629988
U2Gen5_564	U2Gen5	75	85	2.79	19340.500434999
U2Gen5_565	U2Gen5	52	58	0.82	17500.6514099996
U2Gen5_566	U2Gen5	61	70	0.88	20231.5460769983
U2Gen5_567	U2Gen5	70	82	2.7	18493.5479279994
U2Gen5_568	U2Gen5	77	86	3.92	18989.8879959991
U2Gen5_569	U2Gen5	77	89.2	3.05	18393.7128279995
U2Gen5_571	U2Gen5	75	87	3.3	18280.8903289992
U2Gen5_572	U2Gen5	71	85	3.03	18348.2614339991
U2Gen5_573	U2Gen5	66	79	2.64	19004.6756249989
U2Gen5_574	U2Gen5	59	67	1.65	17349.7702249993
U2Gen5_575	U2Gen5	71	84	3.67	18664.9593159988
U2Gen5_576	U2Gen5	72	84	2.18	17204.8494999995
U2Gen5_577	U2Gen5	77	88	3.95	17629.1658159991
U2Gen5_578	U2Gen5	75	87	3.79	20476.8481589982
U2Gen5_579	U2Gen5	57	68	1.24	18765.3062819994
U2Gen5_581	U2Gen5	56	65	1.16	18831.2623819994
U2Gen5_582	U2Gen5	61	70	1.86	17489.3052559996
U2Gen5_583	U2Gen5	72	86	1.55	18203.0560299993
U2Gen5_584	U2Gen5	64	73	2.18	20151.6181809988
U2Gen5_585	U2Gen5	77	89	4.67	18346.8223089993
U2Gen5_586	U2Gen5	73	84	4.26	19466.900569999
U2Gen5_587	U2Gen5	74	85	4.07	17115.7224069993
U2Gen5_588	U2Gen5	86	98	5.9	18087.0297569991
U2Gen5_589	U2Gen5	63	72	2.28	18668.5607909991
U2Gen5_590	U2Gen5	84	94	5.23	18621.1897399992
U2Gen5_593	U2Gen5	71	84	3.06	18391.504438999
U2Gen5_594	U2Gen5	75	87	3.41	17858.8220589993
U2Gen5_595	U2Gen5	76	88	5.32	19221.944623999
U2Gen5_596	U2Gen5	76	88	4.58	19440.761017999
U2Gen5_597	U2Gen5	72	82	3.18	17998.6375279992
U2Gen5_598	U2Gen5	74	86	4.24	17771.6788499994
U2Gen5_599	U2Gen5	70	81.1	3.21	19833.9932369988
R1Gen5_1351	R1Gen5	71	85	2.18	23660.1271699984
R1Gen5_1354	R1Gen5	69	79	2.33	23743.6732179973
R1Gen5_1356	R1Gen5	52	62	1.11	23777.663096998
R1Gen5_1358	R1Gen5	62	71	1.56	23559.6011189992
R1Gen5_1359	R1Gen5	53	63	0.89	23851.2598539989
R1Gen5_1360	R1Gen5	56	68	1.43	23984.4490539984
R1Gen5_1361	R1Gen5	71	84	3.07	23920.1160679993
R1Gen5_1362	R1Gen5	54	67	1.37	24453.0743849993
R1Gen5_1363	R1Gen5	66	79	2.35	23537.0571539991
R1Gen5_1366	R1Gen5	68	79	2.77	23575.2995419987
R1Gen5_1370	R1Gen5	64	76	2.85	23846.2063409983
R1Gen5_1371	R1Gen5	52	63	1.18	24024.6792789993
R1Gen5_1372	R1Gen5	63	74	2.12	22836.7916399994
R1Gen5_1375	R1Gen5	70	85	3.94	24103.5871119989
R1Gen5_1378	R1Gen5	58	68	2	23739.3899969988
R1Gen5_1381	R1Gen5	67	80	3	23084.3846939981
R1Gen5_1382	R1Gen5	53	65	1.97	23744.7936129975
