Contig	Pos	SNP	Allele1	Allele2	ChrPos	JekyllIs_MAF	D2Gen5_106	D2Gen5_1153	D2Gen5_1155	D2Gen5_1157	D2Gen5_1158	D2Gen5_1161	D2Gen5_1162	D2Gen5_1165	D2Gen5_1437	D2Gen5_1522	D2Gen5_1523	D2Gen5_1524	D2Gen5_1525	D2Gen5_1527	D2Gen5_1528	D2Gen5_209	D2Gen5_212	D2Gen5_213	D2Gen5_505	D2Gen5_506	D2Gen5_507	D2Gen5_508	D2Gen5_512	D2Gen5_513	D2Gen5_514	D2Gen5_515	D2Gen5_516	D2Gen5_518	D2Gen5_519	D2Gen5_520	D2Gen5_521	D2Gen5_522	D2Gen5_523	D2Gen5_524	D2Gen5_525	D2Gen5_526	D2Gen5_527	D2Gen5_529	D2Gen5_530	D2Gen5_532	D2Gen5_534	D2Gen5_537	D2Gen5_540	D2Gen5_541	D2Gen5_545	D2Gen5_547	D2Gen5_548	D2Gen5_549	D2Gen5_550	D2Gen5_551
comp66469_c0_seq7	1536	comp66469_c0_seq7_1536	2	0	297281	0.21023	0.333508	1.666492	NA	NA	1.66491	1.66639	NA	1.66491	0.333508	1.666492	1.66639	1.66491	NA	NA	1.888891	1.800001	NA	0.333508	1.66491	1.662257	NA	NA	1.66491	0.111109	1.666492	0.199997	NA	1.666492	1.666492	1.888891	1.666492	0.199997	1.666492	1.66639	NA	0.998735	NA	1.800003	1.662257	1.052898	1.66491	NA	NA	1.888891	0.333508	1.800003	1.666492	NA	NA	1.666492
CLC_WS40_contig_13535_consensusa	597	CLC_WS40_contig_13535_consensusa_597	1	3	416149	0.044715	0.199997	1.000003	1.666447	1.666492	0.333508	0.333508	0.333508	0.199999	1	1.800003	NA	1.941178	1	NA	1.984616	1.666492	0.333508	NA	NA	NA	0.333508	NA	0.999999	0.199997	1.632257	1.666492	0.993658	NA	0.333508	1.666492	0.99434	1.666492	1	NA	1.623577	1.666492	0.199997	1.941178	1.888891	NA	NA	1.00037	1.800003	1.941178	0.333508	0.976092	1.800003	0.335545	0.996828	1.888891
CLC_WS40_contig_13535_consensusa	792	CLC_WS40_contig_13535_consensusa_792	1	3	416344	0.065132	0.333508	1	1.800003	NA	0.998735	0.33361	1.001265	1.800003	1	1.666492	1.666447	1.800003	1.888891	1.800003	1.666492	1.000005	0.333508	0.333508	NA	NA	0.33361	0.333508	0.998735	0.111109	NA	1.941178	1.800003	0.333508	NA	1.800003	1.001266	1.888891	0.199997	NA	NA	1.800003	0.334441	1.666492	NA	NA	1.000957	0.199997	0.199997	1.800003	0.199997	1	0.333508	NA	1	1.666492
CLC_WS40_contig_13535_consensusa	1035	CLC_WS40_contig_13535_consensusa_1035	1	3	416587	0.409438	0.333553	0.33361	NA	1.666492	0.200003	1.888891	0.998734	NA	NA	NA	NA	1.666492	NA	1.800003	NA	0.199997	0.333508	0.33361	0.333508	1.800003	1.001266	0.999045	1	0.333508	1.666492	1.666492	1.800003	1.666492	1.66639	1.666492	NA	1.888891	NA	1.800003	1.66639	1.666492	NA	NA	NA	1.666492	NA	NA	1.666492	1.888891	0.333508	NA	NA	0.333508	1.666492	1.888891
CLC_WS40_contig_13535_consensusa	1293	CLC_WS40_contig_13535_consensusa_1293	1	0	416845	0.999994	1.888891	0.199999	0.333508	NA	0.997996	0.199999	1.800001	NA	NA	0.333508	NA	0.333553	1.000111	NA	NA	0.995625	1.665967	0.998735	0.333553	0.200553	1.612782	0.200003	0.333888	1.800003	0.199997	0.333508	0.387218	0.200019	0.376421	NA	0.333508	0.865618	0.333553	0.111109	NA	0.333888	NA	NA	NA	0.333508	1.800003	1.000957	NA	0.199997	1.79999	NA	NA	1.666227	0.33361	0.333508
CLC_WS40_contig_13535_consensusa	1326	CLC_WS40_contig_13535_consensusa_1326	2	1	416878	0.999996	1.800003	0.997478	0.333508	NA	1.800001	0.199997	NA	NA	NA	0.333508	NA	NA	0.333508	0.333508	NA	0.199997	NA	0.99974	NA	0.199997	0.333508	NA	1.009302	1.799832	NA	NA	0.333508	0.333508	NA	0.333508	0.199997	0.111109	0.998737	0.333508	NA	0.335545	0.33361	0.910368	0.333508	NA	0.199997	1.666112	0.333508	0.333508	NA	NA	0.33361	0.200001	NA	0.33473
CLC_WS40_contig_13535_consensusa	1328	CLC_WS40_contig_13535_consensusa_1328	3	1	416880	0.999998	1.799974	0.99874	0.333508	NA	1.800001	0.199997	NA	NA	NA	0.333508	NA	NA	1.666227	0.333508	NA	1	NA	1.00037	NA	0.200001	0.333508	NA	1.001255	1.888891	NA	NA	0.333508	0.333553	NA	0.333508	0.199999	0.111109	0.998799	0.333508	NA	0.333888	0.33361	0.976092	0.333508	NA	0.998117	1.666112	1.666492	0.333508	NA	NA	0.33361	1.795674	NA	0.333773
comp66331_c0_seq15b	298	comp66331_c0_seq15b_298	2	0	487876	0.985132	1.888891	1.047744	0.200001	NA	0.33361	0.200021	1.666492	1.66639	1.000001	0.333508	0.33509	0.030302	1.800001	0.333888	0.111108	1.00037	1.665272	0.98175	NA	0.199997	1.662257	NA	1.662257	1.66639	NA	0.340313	1.001066	0.991099	1.800001	0.111108	0.360781	0.333508	0.99434	0.111108	NA	0.111109	0.998736	0.333508	0.199997	0.333508	0.33509	1.66639	0.200001	0.058822	NA	NA	0.199997	NA	1.012478	0.199999
comp66331_c0_seq15b	644	comp66331_c0_seq15b_644	3	1	488222	0.973481	1.66639	0.99434	NA	0.333508	0.333508	0.33509	0.199999	1.000044	1.66639	NA	0.200055	0.33361	0.33361	0.199999	0.33509	1.66639	1.66639	1.66639	1.00037	0.200571	0.33361	0.33361	1.662257	1.941178	0.33509	NA	NA	NA	1.00529	0.199997	1.030746	NA	1.799771	0.333508	0.33361	0.199999	NA	0.111109	0.111109	0.337743	1.800003	NA	0.200035	0.33509	1.666492	1.004373	0.33509	1.66639	NA	0.058822
comp66331_c0_seq15b	646	comp66331_c0_seq15b_646	1	0	488224	0.974938	1.66639	0.995296	NA	0.333508	0.333508	0.33509	0.199999	1.000039	1.66639	NA	0.200055	0.33361	0.33361	0.199999	0.33509	1.66639	1.66639	1.666112	1.00037	0.200318	0.33361	0.33361	1.662257	1.941178	0.33509	NA	NA	NA	1.08529	0.199997	1.030746	NA	1.800001	0.33509	0.33361	0.199999	NA	0.111109	0.111109	0.337743	1.800003	NA	0.200035	0.33509	1.666492	1	0.33509	1.66639	NA	0.058822
comp66331_c0_seq15b	727	comp66331_c0_seq15b_727	0	2	488305	0.97602	1.969698	1.003989	0.33361	0.111109	0.998736	0.199997	0.985359	1.002529	NA	0.199997	0.111109	NA	0.880388	0.200022	NA	1.66639	1.666317	1.66639	NA	NA	1.800003	1.666112	0.995998	1.66639	NA	0.111109	NA	1.800003	NA	0.333508	1.666492	NA	NA	0.333508	1.800003	NA	0.337743	0.333888	NA	0.333508	1.001216	1.666492	0.333773	0.333508	1.00126	NA	0.33509	1.66639	0.997997	NA
comp66331_c0_seq15b	817	comp66331_c0_seq15b_817	2	0	488395	0.925806	1.800001	1.005045	0.199999	0.33361	0.340313	0.111109	0.33361	1.659687	NA	0.058822	NA	0.111108	1.09091	0.340313	0.111109	1.799997	1.888888	0.340313	1.79994	0.11111	NA	0.337743	NA	1.666492	NA	0.337743	0.340313	1.799929	NA	NA	0.33361	0.33361	NA	0.340313	NA	0.20006	NA	0.111109	NA	0.340313	NA	NA	1.000001	NA	1.659687	NA	0.33509	1.799999	1.79994	0.111108
comp66331_c0_seq15b	973	comp66331_c0_seq15b_973	1	2	488551	0.978876	1.984616	0.200145	0.337743	0.199999	0.337743	0.333508	1.008901	1.799992	0.199997	0.058822	NA	0.340313	1.799945	0.337743	0.015384	NA	NA	NA	NA	0.33361	1.799909	NA	NA	1.662257	0.340313	0.030302	0.340313	1.66491	NA	0.33509	0.33509	0.340313	1.659687	0.340313	1.66491	0.337743	1.66491	0.340313	NA	0.33473	NA	1.66491	1.023538	0.33361	NA	1.888891	1.66639	NA	0.999666	0.200003
comp66331_c0_seq15b	982	comp66331_c0_seq15b_982	3	1	488560	0.978424	1.984616	0.111109	0.337743	0.199999	0.337743	0.333508	1.008901	1.800001	0.199997	0.058822	NA	0.340313	1.799945	0.337743	0.015384	NA	NA	NA	NA	0.33361	1.799909	NA	NA	1.662257	0.340313	0.030302	0.340313	1.66491	NA	0.33509	0.33509	0.340313	1.659687	0.340313	1.66491	0.337743	1.66491	0.340313	NA	0.333508	NA	1.66491	1.023538	0.33361	NA	1.888891	1.66639	NA	0.999666	0.200001
comp66331_c0_seq15b	1149	comp66331_c0_seq15b_1149	2	3	488727	0.978709	1.888891	1.888891	0.058822	0.333553	0.334213	0.333508	0.33361	0.20001	NA	0.333508	NA	0.030302	NA	NA	0.030302	0.058822	0.333508	1.888891	NA	0.111109	1.666492	0.367743	1.666112	1.941178	0.111109	0.33361	0.199997	1.030745	NA	0.333508	NA	NA	0.199999	0.33509	0.934136	0.199997	0.987507	NA	NA	0.111108	0.340313	0.199999	0.340313	0.340313	0.199999	0.333508	NA	1.000001	1.800001	0.333508
comp66331_c0_seq15b	1504	comp66331_c0_seq15b_1504	2	0	489082	0.991807	1.969698	0.98796	0.200003	NA	0.200033	NA	1.66491	0.333508	0.889915	0.333508	NA	0.111109	1	0.33361	NA	1.666492	NA	1	0.200091	0.200012	NA	0.98499	1.799988	1.799855	0.337743	0.340313	0.975326	1.374978	1.133039	NA	0.340313	0.200145	1.659687	0.340313	NA	0.340313	NA	0.200055	0.200006	0.337743	0.340313	NA	NA	0.015384	NA	1.66491	0.337743	1.799994	1.01825	0.33361
comp66331_c0_seq15b	1552	comp66331_c0_seq15b_1552	0	2	489130	0.999998	1.800003	0.337743	0.333888	NA	0.969379	NA	1.663162	0.333508	0.999045	0.111109	NA	0.058822	0.904769	0.111108	0.337743	1.023908	NA	0.99878	0.360781	0.111108	NA	0.98499	1.66491	1.799945	0.337743	0.340313	0.975326	1.799996	0.904769	0.200021	NA	NA	NA	NA	NA	NA	NA	NA	0.200006	0.337743	1.023908	NA	NA	0.199999	NA	NA	0.337743	1.800003	1.66491	0.199997
comp66331_c0_seq15b	1645	comp66331_c0_seq15b_1645	2	0	489223	0.999997	1.799999	0.994708	NA	NA	0.33509	NA	1.799981	0.98499	1.66491	0.340313	0.337743	1.639217	0.996858	0.333888	0.360781	1.01825	1.799967	NA	0.33361	0.33361	0.199997	1.662257	0.33509	1.659687	0.33361	0.200112	1.66491	0.340313	NA	NA	0.33509	0.340313	NA	0.200001	NA	0.200001	1.662257	0.340313	0.33361	0.33509	0.996222	NA	1.139515	0.337743	1.662257	1.639217	NA	1.799988	1.657887	0.200015
comp66331_c0_seq15b	2036	comp66331_c0_seq15b_2036	2	0	489614	0.982435	1.799997	1.030659	0.33509	0.337743	1.800001	0.11111	0.340313	NA	1.666492	NA	0.058822	0.015384	0.999465	0.340313	0.030302	0.333508	1.666492	NA	0.976462	0.111108	0.200055	1.047724	NA	1.888891	0.33509	NA	1.659687	0.999955	1.666492	0.111109	0.985359	NA	1.666492	0.333508	1.799992	0.111109	NA	0.33509	0.200022	NA	0.33361	0.200033	1.659687	0.200001	0.200012	0.200022	NA	1.800001	0.999141	0.337743
comp66331_c0_seq15b	2309	comp66331_c0_seq15b_2309	2	3	489887	0.987969	1.88889	0.952249	NA	NA	NA	NA	1.799965	1.005662	1.799978	NA	NA	NA	1.66491	0.333508	0.199997	NA	1.800001	NA	NA	0.33509	NA	NA	1.659687	1.66639	0.333508	0.200006	1.666492	0.340313	0.333508	0.33509	1.666492	0.199999	1.888891	NA	0.111109	0.200145	1.005498	0.340313	NA	0.200035	0.199999	0.999977	0.333508	0.200033	1.666492	0.340313	1.800001	1.666317	1.666492	NA
comp66331_c0_seq15b	2480	comp66331_c0_seq15b_2480	2	0	490058	0.59785	1.800001	1.000051	0.111108	0.200033	1.800001	0.33509	1.66491	1.03062	0.340313	NA	0.11111	0.058822	0.33509	0.200006	0.200091	1.008901	NA	0.976462	NA	0.111109	1.659687	NA	1.012317	1.66491	0.337743	0.340313	0.199999	1.79994	0.337743	0.200003	0.33361	0.058822	1.800003	NA	0.199999	NA	0.99065	0.337743	0.337743	0.199997	1.666447	1.632257	NA	0.33361	NA	NA	0.20006	1.888891	NA	0.030302
comp66331_c0_seq15b	2570	comp66331_c0_seq15b_2570	0	2	490148	0.224969	0.337743	0.33509	1.66639	1.623577	0.199999	0.199997	0.199999	0.337743	1.88889	NA	1.659687	1.888891	NA	1.88889	1.969698	0.200091	0.111109	0.95224	0.337743	1.66491	0.33509	1.659687	1.00037	0.33509	1.666492	1.662257	1.799978	0.200091	1.88889	NA	NA	NA	0.111109	1.662257	NA	1.800001	NA	1.662257	1.659687	1.79994	NA	0.33509	NA	NA	NA	0.111109	1.03062	NA	0.333508	NA
comp66331_c0_seq15b	2767	comp66331_c0_seq15b_2767	3	2	490345	0.999996	1.66491	1.799999	0.111109	0.337743	1.66491	NA	NA	NA	1.66491	0.200033	0.333553	0.340313	0.999992	NA	0.058822	NA	1.800003	1.66491	1.662257	0.199999	0.333508	NA	0.99963	1.666492	0.199997	0.337743	1.66639	1.00951	1.08963	0.058822	1.659687	0.199997	1.059548	0.33509	NA	0.111109	NA	NA	NA	0.33361	NA	0.999765	0.340313	0.337743	1.001263	1.800001	1.001216	1.666447	NA	0.33509
comp66331_c0_seq15b	2901	comp66331_c0_seq15b_2901	3	2	490479	0.978659	1.666492	0.99434	0.111108	0.333508	0.333508	0.111109	NA	NA	NA	0.337743	0.333888	0.111109	1.666112	NA	NA	0.999976	1.800003	1.800003	0.337743	0.199997	1.00037	0.333508	1.66491	1.666492	0.333508	0.336118	0.333508	1.888891	NA	0.058822	0.199997	0.202839	1.666447	NA	1	NA	NA	0.199999	0.337743	0.367743	1.888891	1.666227	NA	0.333508	1.800003	0.337743	0.337743	1.800001	NA	NA
comp66331_c0_seq15b	2936	comp66331_c0_seq15b_2936	1	3	490514	0.3026	0.33361	1.005662	1.88889	1.799996	0.340313	0.998735	0.340313	NA	NA	1.662257	NA	1.941178	NA	1.662257	NA	1.030747	0.33361	0.200001	1.662257	1.084012	0.334213	1.666492	0.33509	0.199997	1.666492	NA	NA	0.111109	NA	1.888891	1.666492	1.632257	0.333508	NA	1	NA	NA	1.800001	1.662257	1.665272	0.058822	0.367743	NA	1.800001	0.111109	1.662257	1.662257	0.200003	1.659687	NA
comp66331_c0_seq15b	2954	comp66331_c0_seq15b_2954	2	0	490532	0.689613	1.66639	0.99434	0.111108	0.199999	1.659687	0.199997	1.659687	1.659687	NA	0.337743	NA	0.058822	NA	0.337743	NA	0.98499	NA	1.800001	0.337743	0.199997	0.33361	NA	1.66491	1.800003	0.333508	NA	NA	1.023908	NA	0.199999	NA	NA	1.666492	NA	0.333508	NA	NA	0.199999	0.337743	0.33361	1.941178	NA	NA	0.340313	1.799999	0.337743	0.337743	1.799855	0.340313	NA
comp66331_c0_seq15b	2956	comp66331_c0_seq15b_2956	2	1	490534	0.702401	1.66639	0.99434	0.111108	0.199999	1.659687	0.199997	1.659687	1.659687	NA	0.337743	NA	0.058822	NA	0.337743	NA	0.98499	NA	1.799996	0.337743	0.199997	0.33361	NA	1.66491	1.800003	0.333508	NA	NA	1.023908	NA	0.199999	NA	NA	1.666492	NA	0.333508	NA	NA	0.200174	0.337743	0.376421	1.941178	NA	NA	0.340313	1.799999	0.337743	0.337743	1.799855	0.340313	NA
Contig2382	105	Contig2382_105	0	2	569413	0.978694	1.666492	0.99434	0.333508	NA	1	0.199997	0.33361	1.666492	0.333508	0.058822	0.111109	0.333508	1.666492	0.333508	0.111109	1.800003	1.66639	NA	1.800001	0.333508	0.111109	1.666492	NA	NA	0.333508	0.333683	NA	0.996866	NA	0.333508	1.666492	0.33509	0.333508	NA	1.665272	NA	NA	0.200006	0.199997	NA	NA	1.666492	0.376421	0.111109	1.800003	1.800003	NA	NA	NA	0.030302
